pais,regiao,casos_cumulativos_totais,casos_cumulativos_por_100mil_hab,casos_nos_ultimos_7dias,casos_nos_ultimos_7dias_por_100mil_hab,casos_nas_ultimas_24hrs,mortes_cumulativas_totais,mortes_cumulativas_totais_por_100mil_hab,mortes_nos_ultimos_7dias,mortes_nos_ultimos_7dias_por_100mil_hab,mortes_nas_ultimas_24hrs
Nauru,Pacífico Ocidental,42652.76,0,0.0,0,1,9.23,0,0.0,0,
Anguilla,Americas,26023.197,0,0.0,0,12,79.989,0,0.0,0,
Kiribati,Pacífico Ocidental,2871.518,0,0.0,0,13,10.883,0,0.0,0,
Wallis e Futuna,Pacífico Ocidental,30366.352,0,0.0,0,7,62.244,0,0.0,0,
São Pedro e Miquelon,Americas,57221.743,0,0.0,0,2,34.513,0,0.0,0,
Tuvalu,Pacífico Ocidental,23566.825,0,0.0,0,0,0.0,0,0.0,0,
"Santa Helena, Ascensão e Tristão da Cunha",Africa,35677.813,0,0.0,0,0,0.0,0,0.0,0,
Falkland Islands (Malvinas),Americas,55211.025,0,0.0,0,0,0.0,0,0.0,0,
Montserrat,Americas,28065.613,0,0.0,0,8,160.032,0,0.0,0,
Santo Eustáquio,Americas,38611.023,2,63.715,0,5,159.286,0,0.0,0,
Other,Outro,,0,,0,13,,0,,0,
Saba,Americas,38127.263,0,0.0,0,2,103.466,0,0.0,0,
Niue,Pacífico Ocidental,20704.574,89,5500.618,0,0,0.0,0,0.0,0,
Vaticano,Europa,3213.844,0,0.0,0,0,0.0,0,0.0,0,
Tokelau,Pacífico Ocidental,370.37,0,0.0,0,0,0.0,0,0.0,0,
Ilhas Pitcairn,Pacífico Ocidental,8000.0,0,0.0,0,0,0.0,0,0.0,0,
República Popular Democrática da Coreia,Sudeste da Ásia,0.0,0,0.0,0,0,0.0,0,0.0,0,
Turquemenistão,Europa,0.0,0,0.0,0,0,0.0,0,0.0,0,
